Team,2013,2014,2015
2019,NC State (ACC),4,
2019,Nebraska (Big Ten),5,
2019,Nevada (Mountain West),7,
2019,New Mexico (Mountain West),2,
2019,New Mexico St. (FBS Independent),2,
2019,North Carolina (ACC),7,
2019,North Texas (C-USA),4,
2019,Northern Ill. (MAC),5,
2019,Northwestern (Big Ten),3,
2019,Notre Dame (FBS Independent),11,
2019,Ohio (MAC),7,
2019,Ohio St. (Big Ten),13,
2019,Oklahoma (Big 12),12,
2019,Oklahoma St. (Big 12),8,
2019,Old Dominion (C-USA),1,
2019,Ole Miss (SEC),4,
2019,Oregon (Pac-12),12,
2019,Oregon St. (Pac-12),5,
2019,Penn St. (Big Ten),11,
2019,Pittsburgh (ACC),8,
2019,Purdue (Big Ten),4,
2019,Rice (C-USA),3,
2019,Rutgers (Big Ten),2,
2019,San Diego St. (Mountain West),10,
2019,San Jose St. (Mountain West),5,
2019,SMU (AAC),10,
2019,South Alabama (Sun Belt),2,
2019,South Carolina (SEC),4,
2019,South Fla. (AAC),4,
2019,Southern California (Pac-12),8,
2019,Southern Miss. (C-USA),7,
2019,Stanford (Pac-12),4,
2019,Syracuse (ACC),5,
2019,TCU (Big 12),5,
2019,Temple (AAC),8,
2019,Tennessee (SEC),8,
2019,Texas (Big 12),8,
2019,Texas A&M (SEC),8,
2019,Texas St. (Sun Belt),3,
2019,Texas Tech (Big 12),4,
2019,Toledo (MAC),6,
2019,Troy (Sun Belt),5,
2019,Tulane (AAC),7,
2019,Tulsa (AAC),4,
2019,UAB (C-USA),9,
2019,UCF (AAC),10,
2019,UCLA (Pac-12),4,
2019,UConn (AAC),2,
2019,UNLV (Mountain West),4,
2019,Utah (Pac-12),11,
2019,Utah St. (Mountain West),7,
2019,UTEP (C-USA),1,
2019,UTSA (C-USA),4,
2019,Vanderbilt (SEC),3,
2019,Virginia (ACC),9,
2019,Virginia Tech (ACC),8,
2019,Wake Forest (ACC),8,
2019,Washington (Pac-12),8,
2019,Washington St. (Pac-12),6,
2019,West Virginia (Big 12),5,
2019,Western Ky. (C-USA),9,
2019,Western Mich. (MAC),7,
2019,Wisconsin (Big Ten),10,
2019,Wyoming (Mountain West),8,
2020,Air Force (Mountain West),3,
2020,Akron (MAC),1,
2020,Alabama (SEC),11,
2020,App State (Sun Belt),9,
2020,Arizona (Pac-12),0,
2020,Arizona St. (Pac-12),2,
2020,Arkansas (SEC),3,
2020,Arkansas St. (Sun Belt),4,
2020,Army West Point (FBS Independent),9,
2020,Auburn (SEC),6,
2020,Ball St. (MAC),6,
2020,Baylor (Big 12),2,
2020,Boise St. (Mountain West),5,
2020,Boston College (ACC),6,
2020,Bowling Green (MAC),0,
2020,Buffalo (MAC),6,
2020,BYU (FBS Independent),11,
2020,California (Pac-12),1,
2020,Central Mich. (MAC),3,
2020,Charlotte (C-USA),2,
2020,Cincinnati (AAC),9,
2020,Clemson (ACC),10,
2020,Coastal Carolina (Sun Belt),11,
